SourceName,DestinationName,TransactionType,Amount,TransactionId
XYZ Bank,ABC Bank, Credit,100,1
ABC Bank,XYZ Bank, Credit,110,2
KFC Bank,MAC Bank, Debit,100,3
MAC Bank,KFC Bank, Debit,110,4
XYZ Bank,MAC Bank, Credit,50,5
MAC Bank,ABC Bank, Debit,1520,6
XYZ Bank,ABC Bank, Credit,100,7
ABC Bank,XYZ Bank, Credit,110,8
KFC Bank,MAC Bank, Debit,100,9
MAC Bank,KFC Bank, Debit,110,10
XYZ Bank,MAC Bank, Credit,50,11
MAC Bank,ABC Bank, Debit,1520,12
XYZ Bank,ABC Bank, Credit,100,13
ABC Bank,XYZ Bank, Credit,110,14
KFC Bank,MAC Bank, Debit,100,15
MAC Bank,KFC Bank, Debit,110,16
XYZ Bank,MAC Bank, Credit,50,17
MAC Bank,ABC Bank, Debit,1520,18
XYZ Bank,ABC Bank, Credit,100,19
ABC Bank,XYZ Bank, Credit,110,20
KFC Bank,MAC Bank, Debit,100,21
MAC Bank,KFC Bank, Debit,110,22
XYZ Bank,MAC Bank, Credit,50,23
MAC Bank,ABC Bank, Debit,1520,24
XYZ Bank,ABC Bank, Credit,100,25
ABC Bank,XYZ Bank, Credit,110,26
KFC Bank,MAC Bank, Debit,100,27
MAC Bank,KFC Bank, Debit,110,28
XYZ Bank,MAC Bank, Credit,50,29
MAC Bank,ABC Bank, Debit,1520,30
XYZ Bank,ABC Bank, Credit,100,31
ABC Bank,XYZ Bank, Credit,110,32
KFC Bank,MAC Bank, Debit,100,33
MAC Bank,KFC Bank, Debit,110,34
XYZ Bank,MAC Bank, Credit,50,35
MAC Bank,ABC Bank, Debit,1520,36
XYZ Bank,ABC Bank, Credit,100,37
ABC Bank,XYZ Bank, Credit,110,38
KFC Bank,MAC Bank, Debit,100,39
MAC Bank,KFC Bank, Debit,110,40
XYZ Bank,MAC Bank, Credit,50,41
MAC Bank,ABC Bank, Debit,1520,42
XYZ Bank,ABC Bank, Credit,100,43
ABC Bank,XYZ Bank, Credit,110,44
KFC Bank,MAC Bank, Debit,100,45
MAC Bank,KFC Bank, Debit,110,46
XYZ Bank,MAC Bank, Credit,50,47
MAC Bank,ABC Bank, Debit,1520,48
XYZ Bank,ABC Bank, Credit,100,49
ABC Bank,XYZ Bank, Credit,110,50
KFC Bank,MAC Bank, Debit,100,51
MAC Bank,KFC Bank, Debit,110,52
XYZ Bank,MAC Bank, Credit,50,53
MAC Bank,ABC Bank, Debit,1520,54
XYZ Bank,ABC Bank, Credit,100,55
ABC Bank,XYZ Bank, Credit,110,56
KFC Bank,MAC Bank, Debit,100,57
MAC Bank,KFC Bank, Debit,110,58
XYZ Bank,MAC Bank, Credit,50,59
MAC Bank,ABC Bank, Debit,1520,60
XYZ Bank,ABC Bank, Credit,100,61
ABC Bank,XYZ Bank, Credit,110,62
KFC Bank,MAC Bank, Debit,100,63
MAC Bank,KFC Bank, Debit,110,64
XYZ Bank,MAC Bank, Credit,50,65
MAC Bank,ABC Bank, Debit,1520,66
XYZ Bank,ABC Bank, Credit,100,67
ABC Bank,XYZ Bank, Credit,110,68
KFC Bank,MAC Bank, Debit,100,69
MAC Bank,KFC Bank, Debit,110,70
XYZ Bank,MAC Bank, Credit,50,71
MAC Bank,ABC Bank, Debit,1520,72
XYZ Bank,ABC Bank, Credit,100,73
ABC Bank,XYZ Bank, Credit,110,74
KFC Bank,MAC Bank, Debit,100,75
MAC Bank,KFC Bank, Debit,110,76
XYZ Bank,MAC Bank, Credit,50,77
MAC Bank,ABC Bank, Debit,1520,78
XYZ Bank,ABC Bank, Credit,100,79
ABC Bank,XYZ Bank, Credit,110,80
KFC Bank,MAC Bank, Debit,100,81
MAC Bank,KFC Bank, Debit,110,82
XYZ Bank,MAC Bank, Credit,50,83
MAC Bank,ABC Bank, Debit,1520,84
XYZ Bank,ABC Bank, Credit,100,85
ABC Bank,XYZ Bank, Credit,110,86
KFC Bank,MAC Bank, Debit,100,87
MAC Bank,KFC Bank, Debit,110,88
XYZ Bank,MAC Bank, Credit,50,89
MAC Bank,ABC Bank, Debit,1520,90
XYZ Bank,ABC Bank, Credit,100,91
ABC Bank,XYZ Bank, Credit,110,92
KFC Bank,MAC Bank, Debit,100,93
MAC Bank,KFC Bank, Debit,110,94
XYZ Bank,MAC Bank, Credit,50,95
MAC Bank,ABC Bank, Debit,1520,96
MAC Bank,KFC Bank, Debit,110,97
XYZ Bank,MAC Bank, Credit,50,98
MAC Bank,ABC Bank, Debit,1520,99
XYZ Bank,ABC Bank, Credit,100,100
ABC Bank,XYZ Bank, Credit,110,101
KFC Bank,MAC Bank, Debit,100,102
MAC Bank,KFC Bank, Debit,110,103
XYZ Bank,MAC Bank, Credit,50,104
MAC Bank,ABC Bank, Debit,1520,105
XYZ Bank,ABC Bank, Credit,100,106
ABC Bank,XYZ Bank, Credit,110,107
KFC Bank,MAC Bank, Debit,100,108
MAC Bank,KFC Bank, Debit,110,109
XYZ Bank,MAC Bank, Credit,50,110
MAC Bank,ABC Bank, Debit,1520,111
XYZ Bank,ABC Bank, Credit,100,112
ABC Bank,XYZ Bank, Credit,110,113
KFC Bank,MAC Bank, Debit,100,114
MAC Bank,KFC Bank, Debit,110,115
XYZ Bank,MAC Bank, Credit,50,116
MAC Bank,ABC Bank, Debit,1520,117
XYZ Bank,ABC Bank, Credit,100,118
ABC Bank,XYZ Bank, Credit,110,119
KFC Bank,MAC Bank, Debit,100,120
MAC Bank,KFC Bank, Debit,110,121
XYZ Bank,MAC Bank, Credit,50,122
MAC Bank,ABC Bank, Debit,1520,123
XYZ Bank,ABC Bank, Credit,100,124
ABC Bank,XYZ Bank, Credit,110,125
KFC Bank,MAC Bank, Debit,100,126
MAC Bank,KFC Bank, Debit,110,127
XYZ Bank,MAC Bank, Credit,50,128
MAC Bank,ABC Bank, Debit,1520,129
XYZ Bank,ABC Bank, Credit,100,130
ABC Bank,XYZ Bank, Credit,110,131
KFC Bank,MAC Bank, Debit,100,132
MAC Bank,KFC Bank, Debit,110,133
XYZ Bank,MAC Bank, Credit,50,134
MAC Bank,ABC Bank, Debit,1520,135
XYZ Bank,ABC Bank, Credit,100,136
ABC Bank,XYZ Bank, Credit,110,137
KFC Bank,MAC Bank, Debit,100,138
MAC Bank,KFC Bank, Debit,110,139
XYZ Bank,MAC Bank, Credit,50,140
MAC Bank,ABC Bank, Debit,1520,141
XYZ Bank,ABC Bank, Credit,100,142
ABC Bank,XYZ Bank, Credit,110,143
KFC Bank,MAC Bank, Debit,100,144
MAC Bank,KFC Bank, Debit,110,145
XYZ Bank,MAC Bank, Credit,50,146
MAC Bank,ABC Bank, Debit,1520,147
XYZ Bank,ABC Bank, Credit,100,148
ABC Bank,XYZ Bank, Credit,110,149
KFC Bank,MAC Bank, Debit,100,150
MAC Bank,KFC Bank, Debit,110,151
XYZ Bank,MAC Bank, Credit,50,152
MAC Bank,ABC Bank, Debit,1520,153
XYZ Bank,ABC Bank, Credit,100,154
ABC Bank,XYZ Bank, Credit,110,155
KFC Bank,MAC Bank, Debit,100,156
MAC Bank,KFC Bank, Debit,110,157
XYZ Bank,MAC Bank, Credit,50,158
MAC Bank,ABC Bank, Debit,1520,159
XYZ Bank,ABC Bank, Credit,100,160
ABC Bank,XYZ Bank, Credit,110,161
KFC Bank,MAC Bank, Debit,100,162
MAC Bank,KFC Bank, Debit,110,163
XYZ Bank,MAC Bank, Credit,50,164
MAC Bank,ABC Bank, Debit,1520,165
XYZ Bank,ABC Bank, Credit,100,166
ABC Bank,XYZ Bank, Credit,110,167
KFC Bank,MAC Bank, Debit,100,168
MAC Bank,KFC Bank, Debit,110,169
XYZ Bank,MAC Bank, Credit,50,170
MAC Bank,ABC Bank, Debit,1520,171
XYZ Bank,ABC Bank, Credit,100,172
ABC Bank,XYZ Bank, Credit,110,173
KFC Bank,MAC Bank, Debit,100,174
